,accuracy,0,1,2,3,4,5,6,7,8,9
e8,0.6363636363636364,0.11880165289256195,0.0,0.5643939393939393,0.15596524687433777,0.0,0.0,0.0,0.1608391608391609,,
f8,0.45454545454545453,0.17060439560439555,0.0,0.11258741258741259,0.0,0.1769230769230769,0.10856643356643354,0.15726495726495726,0.27405372405372413,,
g8,0.36363636363636365,0.4501262626262626,0.0,0.0,0.0,0.13068181818181818,0.15246212121212122,0.266729797979798,0.0,,
h8,0.45454545454545453,0.25099206349206354,0.0,0.3375946969696969,0.15972222222222224,0.0,0.0,0.2516910173160172,0.0,,
i8,0.5454545454545454,0.4423076923076923,0.14743589743589744,0.0,0.0,0.18212669683257923,0.0,0.2281297134238311,0.0,,
j8,0.45454545454545453,0.0,0.19981900452488702,0.0,0.0,0.0,0.38333333333333325,0.29552898082309853,0.12131868131868115,,
k8,0.5454545454545454,0.1521164021164021,0.0,0.12169312169312166,0.0,0.0,0.42157974300831424,0.14814814814814828,0.1564625850340136,,
l8,0.36363636363636365,0.0,0.13275613275613277,0.0,0.3360389610389611,0.16335227272727273,0.11616161616161615,0.25169101731601723,0.0,,
m8,0.45454545454545453,0.0,0.0,0.23589743589743586,0.0,0.14801407742584208,0.1572649572649573,0.45882352941176474,0.0,,
n8,0.2727272727272727,0.0,0.0,0.1636363636363636,0.0,0.11616161616161615,0.14520202020202022,0.14935064935064937,0.4256493506493506,,
o8,0.18181818181818182,0.21723730814639905,0.0,0.11616161616161615,0.17107438016528925,0.09292929292929293,0.19298245614035078,0.20961494645705178,0.0,,
p8,0.36363636363636365,0.1548076923076923,0.0,0.5488461538461539,0.0,0.0,0.0,0.1769230769230769,0.1194230769230769,,
q8,0.6363636363636364,0.0,0.29766414141414144,0.0,0.0,0.24781144781144787,0.13939393939393938,0.17832739156268562,0.1368030798177857,,
r8,0.45454545454545453,0.146031746031746,0.0,0.0,0.18253968253968253,0.0,0.17523809523809525,0.4961904761904762,0.0,,
s8,0.5454545454545454,0.0,0.1548076923076923,0.12380952380952383,0.0,0.0,0.0,0.5715976331360947,0.14978515074668922,,
t8,0.7272727272727273,0.29328402366863904,0.0,0.0,0.14743589743589744,0.0,0.0,0.21564102564102572,0.3436390532544378,,
u8,0.36363636363636365,0.12980599647266308,0.0,0.0,0.5600325600325601,0.04056437389770723,0.26959706959706964,0.0,0.0,,
v8,0.5454545454545454,0.13068181818181818,0.0,0.41210973370064274,0.155188246097337,0.11616161616161615,0.1858585858585859,0.0,0.0,,
w8,0.45454545454545453,0.0,0.0,0.0,0.30329670329670333,0.0,0.0,0.37556561085972845,0.32113768584356817,,
x8,0.5454545454545454,0.23589743589743586,0.0,0.0,0.0,0.0,0.05307692307692304,0.46402714932126693,0.24699849170437413,,
y8,0.36363636363636365,0.3076495726495726,0.0,0.19500000000000006,0.12581196581196574,0.11794871794871796,0.04128205128205133,0.21230769230769234,0.0,,
z8,0.45454545454545453,0.12390572390572385,0.0,0.11616161616161615,0.4062354312354312,0.0,0.35369722869722875,0.0,0.0,,
a9,0.3,0.10999999999999993,0.21777777777777793,0.0,0.0,0.0,0.0,0.17111111111111105,0.19555555555555557,0.3055555555555555,
b9,0.4,0.13888888888888887,0.0,0.12222222222222219,0.40111111111111114,0.04444444444444446,0.1303703703703703,0.0,0.16296296296296292,0.0,
c9,0.4,0.3232323232323232,0.0,0.0,0.22222222222222227,0.0,0.0,0.3030303030303031,0.0,0.15151515151515155,
d9,0.3,0.0,0.0,0.0,0.5804195804195804,0.0,0.0,0.32261072261072266,0.09696969696969697,0.0,
e9,0.6,0.1964285714285714,0.0,0.0,0.0,0.1222222222222222,0.0,0.5285714285714287,0.0,0.15277777777777773,
f9,0.3,0.0,0.0,0.0,0.1652892561983471,0.0,0.13774104683195593,0.0,0.4805194805194805,0.21645021645021645,
g9,0.6,0.29411764705882354,0.0,0.20779220779220778,0.3422459893048128,0.15584415584415587,0.0,0.0,0.0,0.0,
h9,0.7,0.09166666666666666,0.0,0.1222222222222222,0.1222222222222222,0.0,0.3190476190476192,0.16041666666666665,0.0,0.18442460317460313,
i9,0.4,0.22238930659983303,0.2875132275132275,0.13157894736842107,0.0,0.0,0.0,0.0,0.16296296296296298,0.1955555555555556,
j9,0.4,0.12222222222222219,0.16805555555555554,0.14972222222222212,0.0,0.0,0.0,0.3529411764705882,0.0,0.2070588235294119,
